Chapter,Location,Context Esp,Latitude,Longitude,Reality,Page,Section,Character category,Type of Space,Date in novel
,la comisaría de Cerdañola,,41.486248,2.123817,,42,2,,,
,los estudios de TV3,,41.374588,2.070663,,55,2,,,
,la pensión La Palomera,,41.379453,2.168721,,27,2,,,
,Bucarest,,44.426772,26.108026,,27,2,,,
,los estudios de TV3,,41.374048,2.070974769,,33,2,,,
,el aeropuerto del Prat,,41.297821,2.083262,,47,2,,,
,Milán,,45.464425,9.186577,,48,2,,,
,la Universidad Autónoma de Barcelona,,41.50202,2.104511769,,49,2,,,
,estación de tren de Bellaterra,,41.500888,2.090515,,13,1,,,
,estación de tren de Cerdañola,,41.497197,2.115333,,13,1,,,
,"la Vila Universitaria, UAB",,41.49942944,2.097066559,,13,1,,,
,Vila de Gràcia,,41.408949,2.151883,,13,1,,,
,el cine Verdi,,41.404345,2.157777,,13,1,,,
,el metro de Fontana,,41.402629,2.152726,,13,1,,,
,el metro de Lesseps,,41.405741,2.150406,,13,1,,,
,la oficina de Casasaies,,41.502894,2.107509,,20,1,,,
,la Universidad Autónoma de Barcelona,,41.50256,2.1042,,11,1,,,
,la facultad de Filosofía y Letras,,41.502714,2.107820769,,11,1,,,
,el bosque,,41.505032,2.109593,,105-106,4,,,
,la comisaría de Sabadell,,41.541092,2.100651,,107/110,4,,,
,Vilanova i la Geltrú,,41.220359,1.725156,,83,4,,,
,el número 66 de la Carretera de La Bordeta,,41.373803,2.144705,,83; 85-88,4,,,
,los estudios de TV3,,41.374048,2.070351231,,95,4,,,
,la Global (Gloobal Club),,41.531198,2.097682,,96,4,,,
,Hotel Sehrs Campus,,41.500105,2.096316,,99,4,,,
,el Robador 23,,41.379675,2.170717,,101,4,,,
,el Kentucky,,41.377693,2.174699,,101,4,,,
,el mercado de La Boquería,,41.381732,2.171585,,103,4,,,
,la comisaría de Cerdañola,,41.48559675,2.124028603,,109,4,,,
,Hospital Clínico de Barcelona,,41.389749,2.152221,,109,4,,,
,la comisaría de Cerdañola,,41.48599925,2.124159381,,58,3,,,
,el restaurante Hispània de Arenys de Mar,,41.571221,2.532542,,67,3,,,
,la facultad de Filosofía y Letras,,41.502534,2.107509,,71,3,,,
,la comisaría de Cerdañola,,41.48559675,2.123605397,,77,3,,,
